time,temperature_2m_max (°C)
2022-03-01,5.6
2022-03-02,7.7
2022-03-03,8.6
2022-03-04,6.5
2022-03-05,6.1
2022-03-06,6.1
2022-03-07,5.0
2022-03-08,7.1
2022-03-09,8.9
2022-03-10,6.9
2022-03-11,3.9
2022-03-12,5.2
2022-03-13,10.1
2022-03-14,12.4
2022-03-15,12.8
2022-03-16,15.8
2022-03-17,13.7
2022-03-18,10.7
2022-03-19,10.1
2022-03-20,8.5
2022-03-21,9.5
2022-03-22,12.4
2022-03-23,16.4
2022-03-24,18.5
2022-03-25,17.5
2022-03-26,18.0
2022-03-27,18.6
2022-03-28,20.6
2022-03-29,19.2
2022-03-30,15.3
2022-03-31,11.5
